
Lmod is automatically replacing "cce/15.0.0" with "amd/5.3.0".


Lmod is automatically replacing "PrgEnv-cray/8.3.3" with "PrgEnv-amd/8.3.3".


Due to MODULEPATH changes, the following have been reloaded:
  1) cray-mpich/8.1.23

Mon 09 Oct 2023 05:45:29 PM EDT
Comm|Scope 0.12.0 v0.12.0@124999d
  scope 1.1.2 HEAD@124999d
    spdlog 1.6.1
    benchmark 1.5.1
[2023-10-09 17:45:31.397] [scope] [info] recorded system CPU turbo state
[2023-10-09 17:45:31.398] [scope] [info] recorded CPU goveror
[2023-10-09 17:45:31.398] [scope] [error] unable to disable CPU turbo: no permission. Run with higher privileges?
[2023-10-09 17:45:31.398] [scope] [error] unable to set OS CPU governor to maximum: no permission. Run with higher privileges?
2023-10-09T17:45:33-04:00
Running /lustre/orion/csc465/scratch/cpearson/frontier-gpu-bandwidth/build/comm_scope
Run on (128 X 1795.92 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x64)
  L1 Instruction 32 KiB (x64)
  L2 Unified 512 KiB (x64)
  L3 Unified 32768 KiB (x8)
Load Average: 0.29, 3.20, 19.10
--------------------------------------------------------------------------------------------------------------------------
Benchmark                                                                Time             CPU   Iterations UserCounters...
Comm_implicit_mapped_GPUWrGPU/0/0/log2(N):15/manual_time             12271 ns        29220 ns        57059 bytes=32.768k bytes_per_second=2.487G/s own_gpu=0 wr_gpu=0
Comm_implicit_mapped_GPUWrGPU/0/0/log2(N):15/manual_time             12270 ns        29266 ns        57059 bytes=32.768k bytes_per_second=2.48723G/s own_gpu=0 wr_gpu=0
Comm_implicit_mapped_GPUWrGPU/0/0/log2(N):15/manual_time             12263 ns        29196 ns        57059 bytes=32.768k bytes_per_second=2.4886G/s own_gpu=0 wr_gpu=0
Comm_implicit_mapped_GPUWrGPU/0/0/log2(N):15/manual_time             12272 ns        29219 ns        57059 bytes=32.768k bytes_per_second=2.48679G/s own_gpu=0 wr_gpu=0
Comm_implicit_mapped_GPUWrGPU/0/0/log2(N):15/manual_time             12271 ns        29293 ns        57059 bytes=32.768k bytes_per_second=2.48706G/s own_gpu=0 wr_gpu=0
Comm_implicit_mapped_GPUWrGPU/0/0/log2(N):15/manual_time_mean        12269 ns        29239 ns            5 bytes=32.768k bytes_per_second=2.48734G/s own_gpu=0 wr_gpu=0
Comm_implicit_mapped_GPUWrGPU/0/0/log2(N):15/manual_time_median      12271 ns        29220 ns            5 bytes=32.768k bytes_per_second=2.48706G/s own_gpu=0 wr_gpu=0
Comm_implicit_mapped_GPUWrGPU/0/0/log2(N):15/manual_time_stddev       3.56 ns         39.8 ns            5 bytes=0 bytes_per_second=757.416k/s own_gpu=0 wr_gpu=0
Comm_implicit_mapped_GPUWrGPU/0/0/log2(N):15/manual_time_cv           0.03 %          0.14 %             5 bytes=0.00% bytes_per_second=0.03% own_gpu=-nan% wr_gpu=-nan%
Comm_implicit_mapped_GPUWrGPU/0/0/log2(N):16/manual_time             12270 ns        29963 ns        57040 bytes=65.536k bytes_per_second=4.97452G/s own_gpu=0 wr_gpu=0
Comm_implicit_mapped_GPUWrGPU/0/0/log2(N):16/manual_time             12269 ns        29999 ns        57040 bytes=65.536k bytes_per_second=4.97487G/s own_gpu=0 wr_gpu=0
Comm_implicit_mapped_GPUWrGPU/0/0/log2(N):16/manual_time             12270 ns        29891 ns        57040 bytes=65.536k bytes_per_second=4.97418G/s own_gpu=0 wr_gpu=0
Comm_implicit_mapped_GPUWrGPU/0/0/log2(N):16/manual_time             12272 ns        29900 ns        57040 bytes=65.536k bytes_per_second=4.97359G/s own_gpu=0 wr_gpu=0
Comm_implicit_mapped_GPUWrGPU/0/0/log2(N):16/manual_time             12271 ns        29890 ns        57040 bytes=65.536k bytes_per_second=4.97385G/s own_gpu=0 wr_gpu=0
Comm_implicit_mapped_GPUWrGPU/0/0/log2(N):16/manual_time_mean        12270 ns        29929 ns            5 bytes=65.536k bytes_per_second=4.9742G/s own_gpu=0 wr_gpu=0
Comm_implicit_mapped_GPUWrGPU/0/0/log2(N):16/manual_time_median      12270 ns        29900 ns            5 bytes=65.536k bytes_per_second=4.97418G/s own_gpu=0 wr_gpu=0
Comm_implicit_mapped_GPUWrGPU/0/0/log2(N):16/manual_time_stddev       1.26 ns         49.7 ns            5 bytes=0 bytes_per_second=534.458k/s own_gpu=0 wr_gpu=0
Comm_implicit_mapped_GPUWrGPU/0/0/log2(N):16/manual_time_cv           0.01 %          0.17 %             5 bytes=0.00% bytes_per_second=0.01% own_gpu=-nan% wr_gpu=-nan%
Comm_implicit_mapped_GPUWrGPU/0/0/log2(N):17/manual_time             12283 ns        31169 ns        57017 bytes=131.072k bytes_per_second=9.93793G/s own_gpu=0 wr_gpu=0
Comm_implicit_mapped_GPUWrGPU/0/0/log2(N):17/manual_time             12265 ns        31219 ns        57017 bytes=131.072k bytes_per_second=9.95237G/s own_gpu=0 wr_gpu=0
Comm_implicit_mapped_GPUWrGPU/0/0/log2(N):17/manual_time             12276 ns        31179 ns        57017 bytes=131.072k bytes_per_second=9.94413G/s own_gpu=0 wr_gpu=0
Comm_implicit_mapped_GPUWrGPU/0/0/log2(N):17/manual_time             12275 ns        31187 ns        57017 bytes=131.072k bytes_per_second=9.9445G/s own_gpu=0 wr_gpu=0
Comm_implicit_mapped_GPUWrGPU/0/0/log2(N):17/manual_time             12278 ns        31194 ns        57017 bytes=131.072k bytes_per_second=9.94222G/s own_gpu=0 wr_gpu=0
Comm_implicit_mapped_GPUWrGPU/0/0/log2(N):17/manual_time_mean        12275 ns        31190 ns            5 bytes=131.072k bytes_per_second=9.94423G/s own_gpu=0 wr_gpu=0
Comm_implicit_mapped_GPUWrGPU/0/0/log2(N):17/manual_time_median      12276 ns        31187 ns            5 bytes=131.072k bytes_per_second=9.94413G/s own_gpu=0 wr_gpu=0
