
Lmod is automatically replacing "cce/15.0.0" with "amd/5.3.0".


Lmod is automatically replacing "PrgEnv-cray/8.3.3" with "PrgEnv-amd/8.3.3".


Due to MODULEPATH changes, the following have been reloaded:
  1) cray-mpich/8.1.23

Mon 09 Oct 2023 05:44:30 PM EDT
Comm|Scope 0.12.0 v0.12.0@124999d
  scope 1.1.2 HEAD@124999d
    spdlog 1.6.1
    benchmark 1.5.1
[2023-10-09 17:44:32.023] [scope] [info] recorded system CPU turbo state
[2023-10-09 17:44:32.024] [scope] [info] recorded CPU goveror
[2023-10-09 17:44:32.024] [scope] [error] unable to disable CPU turbo: no permission. Run with higher privileges?
[2023-10-09 17:44:32.024] [scope] [error] unable to set OS CPU governor to maximum: no permission. Run with higher privileges?
2023-10-09T17:44:34-04:00
Running /lustre/orion/csc465/scratch/cpearson/frontier-gpu-bandwidth/build/comm_scope
Run on (128 X 1795.77 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x64)
  L1 Instruction 32 KiB (x64)
  L2 Unified 512 KiB (x64)
  L3 Unified 32768 KiB (x8)
Load Average: 0.10, 3.44, 18.39
---------------------------------------------------------------------------------------------------------------------------
Benchmark                                                                 Time             CPU   Iterations UserCounters...
---------------------------------------------------------------------------------------------------------------------------
Comm_prefetch_managed_GPUToGPU/0/0/log2(N):10/manual_time              8895 ns        21083 ns        78707 bytes=1024 bytes_per_second=109.792M/s dst_gpu=0 src_gpu=0
Comm_prefetch_managed_GPUToGPU/0/0/log2(N):10/manual_time              8940 ns        21139 ns        78707 bytes=1024 bytes_per_second=109.236M/s dst_gpu=0 src_gpu=0
Comm_prefetch_managed_GPUToGPU/0/0/log2(N):10/manual_time              8882 ns        21130 ns        78707 bytes=1024 bytes_per_second=109.946M/s dst_gpu=0 src_gpu=0
Comm_prefetch_managed_GPUToGPU/0/0/log2(N):10/manual_time              8820 ns        20986 ns        78707 bytes=1024 bytes_per_second=110.725M/s dst_gpu=0 src_gpu=0
Comm_prefetch_managed_GPUToGPU/0/0/log2(N):10/manual_time              8847 ns        21025 ns        78707 bytes=1024 bytes_per_second=110.379M/s dst_gpu=0 src_gpu=0
Comm_prefetch_managed_GPUToGPU/0/0/log2(N):10/manual_time_mean         8877 ns        21073 ns            5 bytes=1024 bytes_per_second=110.016M/s dst_gpu=0 src_gpu=0
Comm_prefetch_managed_GPUToGPU/0/0/log2(N):10/manual_time_median       8882 ns        21083 ns            5 bytes=1024 bytes_per_second=109.946M/s dst_gpu=0 src_gpu=0
Comm_prefetch_managed_GPUToGPU/0/0/log2(N):10/manual_time_stddev       46.0 ns         66.3 ns            5 bytes=0 bytes_per_second=583.197k/s dst_gpu=0 src_gpu=0
Comm_prefetch_managed_GPUToGPU/0/0/log2(N):10/manual_time_cv           0.52 %          0.31 %             5 bytes=0.00% bytes_per_second=0.52% dst_gpu=-nan% src_gpu=-nan%
Comm_prefetch_managed_GPUToGPU/0/0/log2(N):11/manual_time              8963 ns        21176 ns        78589 bytes=2.048k bytes_per_second=217.899M/s dst_gpu=0 src_gpu=0
Comm_prefetch_managed_GPUToGPU/0/0/log2(N):11/manual_time              8973 ns        21190 ns        78589 bytes=2.048k bytes_per_second=217.676M/s dst_gpu=0 src_gpu=0
Comm_prefetch_managed_GPUToGPU/0/0/log2(N):11/manual_time              8902 ns        21125 ns        78589 bytes=2.048k bytes_per_second=219.408M/s dst_gpu=0 src_gpu=0
Comm_prefetch_managed_GPUToGPU/0/0/log2(N):11/manual_time              8736 ns        20905 ns        78589 bytes=2.048k bytes_per_second=223.57M/s dst_gpu=0 src_gpu=0
