
Lmod is automatically replacing "cce/15.0.0" with "amd/5.3.0".


Lmod is automatically replacing "PrgEnv-cray/8.3.3" with "PrgEnv-amd/8.3.3".


Due to MODULEPATH changes, the following have been reloaded:
  1) cray-mpich/8.1.23

Mon 09 Oct 2023 05:38:26 PM EDT
Comm|Scope 0.12.0 v0.12.0@124999d
  scope 1.1.2 HEAD@124999d
    spdlog 1.6.1
    benchmark 1.5.1
[2023-10-09 17:38:29.025] [scope] [info] recorded system CPU turbo state
[2023-10-09 17:38:29.025] [scope] [info] recorded CPU goveror
[2023-10-09 17:38:29.025] [scope] [error] unable to disable CPU turbo: no permission. Run with higher privileges?
[2023-10-09 17:38:29.025] [scope] [error] unable to set OS CPU governor to maximum: no permission. Run with higher privileges?
2023-10-09T17:38:31-04:00
Running /lustre/orion/csc465/scratch/cpearson/frontier-gpu-bandwidth/build/comm_scope
Run on (128 X 1790.37 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x64)
  L1 Instruction 32 KiB (x64)
  L2 Unified 512 KiB (x64)
  L3 Unified 32768 KiB (x8)
Load Average: 0.63, 11.72, 27.46
---------------------------------------------------------------------------------------------------------------------------
Benchmark                                                                 Time             CPU   Iterations UserCounters...
Comm_implicit_mapped_GPURdHost/0/0/log2(N):15/manual_time             13713 ns        20747 ns        51044 bytes=32.768k bytes_per_second=2.22553G/s own_numa=0 rd_gpu=0
Comm_implicit_mapped_GPURdHost/0/0/log2(N):15/manual_time             13711 ns        20774 ns        51044 bytes=32.768k bytes_per_second=2.22576G/s own_numa=0 rd_gpu=0
Comm_implicit_mapped_GPURdHost/0/0/log2(N):15/manual_time             13712 ns        20766 ns        51044 bytes=32.768k bytes_per_second=2.22565G/s own_numa=0 rd_gpu=0
Comm_implicit_mapped_GPURdHost/0/0/log2(N):15/manual_time             13719 ns        20776 ns        51044 bytes=32.768k bytes_per_second=2.22447G/s own_numa=0 rd_gpu=0
Comm_implicit_mapped_GPURdHost/0/0/log2(N):15/manual_time_mean        13713 ns        20765 ns            5 bytes=32.768k bytes_per_second=2.2254G/s own_numa=0 rd_gpu=0
Comm_implicit_mapped_GPURdHost/0/0/log2(N):15/manual_time_median      13712 ns        20766 ns            5 bytes=32.768k bytes_per_second=2.22561G/s own_numa=0 rd_gpu=0
Comm_implicit_mapped_GPURdHost/0/0/log2(N):15/manual_time_stddev       3.26 ns         11.4 ns            5 bytes=0 bytes_per_second=555.175k/s own_numa=0 rd_gpu=0
Comm_implicit_mapped_GPURdHost/0/0/log2(N):15/manual_time_cv           0.02 %          0.05 %             5 bytes=0.00% bytes_per_second=0.02% own_numa=-nan% rd_gpu=-nan%
Comm_implicit_mapped_GPURdHost/0/0/log2(N):16/manual_time             14221 ns        21575 ns        49230 bytes=65.536k bytes_per_second=4.29194G/s own_numa=0 rd_gpu=0
Comm_implicit_mapped_GPURdHost/0/0/log2(N):16/manual_time             14220 ns        21585 ns        49230 bytes=65.536k bytes_per_second=4.29207G/s own_numa=0 rd_gpu=0
Comm_implicit_mapped_GPURdHost/0/0/log2(N):16/manual_time             14221 ns        21592 ns        49230 bytes=65.536k bytes_per_second=4.29202G/s own_numa=0 rd_gpu=0
Comm_implicit_mapped_GPURdHost/0/0/log2(N):16/manual_time             14217 ns        21575 ns        49230 bytes=65.536k bytes_per_second=4.29306G/s own_numa=0 rd_gpu=0
Comm_implicit_mapped_GPURdHost/0/0/log2(N):16/manual_time             14219 ns        21583 ns        49230 bytes=65.536k bytes_per_second=4.29264G/s own_numa=0 rd_gpu=0
Comm_implicit_mapped_GPURdHost/0/0/log2(N):16/manual_time_mean        14220 ns        21582 ns            5 bytes=65.536k bytes_per_second=4.29235G/s own_numa=0 rd_gpu=0
Comm_implicit_mapped_GPURdHost/0/0/log2(N):16/manual_time_median      14220 ns        21583 ns            5 bytes=65.536k bytes_per_second=4.29207G/s own_numa=0 rd_gpu=0
Comm_implicit_mapped_GPURdHost/0/0/log2(N):16/manual_time_stddev       1.61 ns         7.31 ns            5 bytes=0 bytes_per_second=509.071k/s own_numa=0 rd_gpu=0
Comm_implicit_mapped_GPURdHost/0/0/log2(N):16/manual_time_cv           0.01 %          0.03 %             5 bytes=0.00% bytes_per_second=0.01% own_numa=-nan% rd_gpu=-nan%
Comm_implicit_mapped_GPURdHost/0/0/log2(N):17/manual_time             15265 ns        23268 ns        45881 bytes=131.072k bytes_per_second=7.99658G/s own_numa=0 rd_gpu=0
Comm_implicit_mapped_GPURdHost/0/0/log2(N):17/manual_time             15262 ns        23286 ns        45881 bytes=131.072k bytes_per_second=7.99819G/s own_numa=0 rd_gpu=0
Comm_implicit_mapped_GPURdHost/0/0/log2(N):17/manual_time             15260 ns        23283 ns        45881 bytes=131.072k bytes_per_second=7.99936G/s own_numa=0 rd_gpu=0
Comm_implicit_mapped_GPURdHost/0/0/log2(N):17/manual_time             15259 ns        23263 ns        45881 bytes=131.072k bytes_per_second=7.99971G/s own_numa=0 rd_gpu=0
Comm_implicit_mapped_GPURdHost/0/0/log2(N):17/manual_time             15262 ns        23259 ns        45881 bytes=131.072k bytes_per_second=7.99813G/s own_numa=0 rd_gpu=0
Comm_implicit_mapped_GPURdHost/0/0/log2(N):17/manual_time_mean        15262 ns        23272 ns            5 bytes=131.072k bytes_per_second=7.99839G/s own_numa=0 rd_gpu=0
Comm_implicit_mapped_GPURdHost/0/0/log2(N):17/manual_time_median      15262 ns        23268 ns            5 bytes=131.072k bytes_per_second=7.99819G/s own_numa=0 rd_gpu=0
Comm_implicit_mapped_GPURdHost/0/0/log2(N):17/manual_time_stddev       2.35 ns         12.0 ns            5 bytes=0 bytes_per_second=1.26005M/s own_numa=0 rd_gpu=0
Comm_implicit_mapped_GPURdHost/0/0/log2(N):17/manual_time_cv           0.02 %          0.05 %             5 bytes=0.00% bytes_per_second=0.02% own_numa=-nan% rd_gpu=-nan%
Comm_implicit_mapped_GPURdHost/0/0/log2(N):18/manual_time             18885 ns        29051 ns        37054 bytes=262.144k bytes_per_second=12.9277G/s own_numa=0 rd_gpu=0
Comm_implicit_mapped_GPURdHost/0/0/log2(N):18/manual_time             18891 ns        29037 ns        37054 bytes=262.144k bytes_per_second=12.9236G/s own_numa=0 rd_gpu=0
Comm_implicit_mapped_GPURdHost/0/0/log2(N):18/manual_time             18892 ns        29067 ns        37054 bytes=262.144k bytes_per_second=12.9229G/s own_numa=0 rd_gpu=0
Comm_implicit_mapped_GPURdHost/0/0/log2(N):18/manual_time             18897 ns        29070 ns        37054 bytes=262.144k bytes_per_second=12.9193G/s own_numa=0 rd_gpu=0
Comm_implicit_mapped_GPURdHost/0/0/log2(N):18/manual_time             18892 ns        29060 ns        37054 bytes=262.144k bytes_per_second=12.923G/s own_numa=0 rd_gpu=0
Comm_implicit_mapped_GPURdHost/0/0/log2(N):18/manual_time_mean        18892 ns        29057 ns            5 bytes=262.144k bytes_per_second=12.9233G/s own_numa=0 rd_gpu=0
Comm_implicit_mapped_GPURdHost/0/0/log2(N):18/manual_time_median      18892 ns        29060 ns            5 bytes=262.144k bytes_per_second=12.923G/s own_numa=0 rd_gpu=0
