
Lmod is automatically replacing "cce/15.0.0" with "amd/5.3.0".


Lmod is automatically replacing "PrgEnv-cray/8.3.3" with "PrgEnv-amd/8.3.3".


Due to MODULEPATH changes, the following have been reloaded:
  1) cray-mpich/8.1.23

Mon 09 Oct 2023 05:38:26 PM EDT
Comm|Scope 0.12.0 v0.12.0@124999d
  scope 1.1.2 HEAD@124999d
    spdlog 1.6.1
    benchmark 1.5.1
[2023-10-09 17:38:29.022] [scope] [info] recorded system CPU turbo state
[2023-10-09 17:38:29.023] [scope] [info] recorded CPU goveror
[2023-10-09 17:38:29.023] [scope] [error] unable to disable CPU turbo: no permission. Run with higher privileges?
[2023-10-09 17:38:29.023] [scope] [error] unable to set OS CPU governor to maximum: no permission. Run with higher privileges?
2023-10-09T17:38:31-04:00
Running /lustre/orion/csc465/scratch/cpearson/frontier-gpu-bandwidth/build/comm_scope
Run on (128 X 1960.75 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x64)
  L1 Instruction 32 KiB (x64)
  L2 Unified 512 KiB (x64)
  L3 Unified 32768 KiB (x8)
Load Average: 0.68, 11.22, 26.93
-------------------------------------------------------------------------------------------------------------------------
Benchmark                                                               Time             CPU   Iterations UserCounters...
Comm_hipMemcpyAsync_GPUToGPU/0/0/log2(N):11/manual_time              7927 ns   1548951986 ns        87997 bytes=2.048k bytes_per_second=246.376M/s dst_id=0 src_id=0
Comm_hipMemcpyAsync_GPUToGPU/0/0/log2(N):11/manual_time              8133 ns   1558864186 ns        87997 bytes=2.048k bytes_per_second=240.144M/s dst_id=0 src_id=0
Comm_hipMemcpyAsync_GPUToGPU/0/0/log2(N):11/manual_time              7996 ns   1550014351 ns        87997 bytes=2.048k bytes_per_second=244.26M/s dst_id=0 src_id=0
Comm_hipMemcpyAsync_GPUToGPU/0/0/log2(N):11/manual_time              8079 ns   1556805014 ns        87997 bytes=2.048k bytes_per_second=241.75M/s dst_id=0 src_id=0
Comm_hipMemcpyAsync_GPUToGPU/0/0/log2(N):11/manual_time_mean         8034 ns   1553420573 ns            5 bytes=2.048k bytes_per_second=243.121M/s dst_id=0 src_id=0
Comm_hipMemcpyAsync_GPUToGPU/0/0/log2(N):11/manual_time_median       8035 ns   1552467330 ns            5 bytes=2.048k bytes_per_second=243.077M/s dst_id=0 src_id=0
Comm_hipMemcpyAsync_GPUToGPU/0/0/log2(N):11/manual_time_stddev       78.5 ns      4288550 ns            5 bytes=0 bytes_per_second=2.37878M/s dst_id=0 src_id=0
Comm_hipMemcpyAsync_GPUToGPU/0/0/log2(N):11/manual_time_cv           0.98 %          0.28 %             5 bytes=0.00% bytes_per_second=0.98% dst_id=-nan% src_id=-nan%
Comm_hipMemcpyAsync_GPUToGPU/0/0/log2(N):12/manual_time              9606 ns   1349867366 ns        73193 bytes=4.096k bytes_per_second=406.637M/s dst_id=0 src_id=0
Comm_hipMemcpyAsync_GPUToGPU/0/0/log2(N):12/manual_time              9533 ns   1347313016 ns        73193 bytes=4.096k bytes_per_second=409.772M/s dst_id=0 src_id=0
Comm_hipMemcpyAsync_GPUToGPU/0/0/log2(N):12/manual_time              9723 ns   1355478986 ns        73193 bytes=4.096k bytes_per_second=401.756M/s dst_id=0 src_id=0
Comm_hipMemcpyAsync_GPUToGPU/0/0/log2(N):12/manual_time              9551 ns   1346770304 ns        73193 bytes=4.096k bytes_per_second=408.997M/s dst_id=0 src_id=0
Comm_hipMemcpyAsync_GPUToGPU/0/0/log2(N):12/manual_time              9626 ns   1351510121 ns        73193 bytes=4.096k bytes_per_second=405.795M/s dst_id=0 src_id=0
Comm_hipMemcpyAsync_GPUToGPU/0/0/log2(N):12/manual_time_mean         9608 ns   1350187959 ns            5 bytes=4.096k bytes_per_second=406.591M/s dst_id=0 src_id=0
Comm_hipMemcpyAsync_GPUToGPU/0/0/log2(N):12/manual_time_median       9606 ns   1349867366 ns            5 bytes=4.096k bytes_per_second=406.637M/s dst_id=0 src_id=0
Comm_hipMemcpyAsync_GPUToGPU/0/0/log2(N):12/manual_time_stddev       75.0 ns      3528155 ns            5 bytes=0 bytes_per_second=3.15914M/s dst_id=0 src_id=0
Comm_hipMemcpyAsync_GPUToGPU/0/0/log2(N):12/manual_time_cv           0.78 %          0.26 %             5 bytes=0.00% bytes_per_second=0.78% dst_id=-nan% src_id=-nan%
Comm_hipMemcpyAsync_GPUToGPU/0/0/log2(N):13/manual_time             10777 ns   1235718678 ns        65037 bytes=8.192k bytes_per_second=724.946M/s dst_id=0 src_id=0
