
Lmod is automatically replacing "cce/15.0.0" with "amd/5.3.0".


Lmod is automatically replacing "PrgEnv-cray/8.3.3" with "PrgEnv-amd/8.3.3".


Due to MODULEPATH changes, the following have been reloaded:
  1) cray-mpich/8.1.23

Mon 09 Oct 2023 05:44:29 PM EDT
Comm|Scope 0.12.0 v0.12.0@124999d
  scope 1.1.2 HEAD@124999d
    spdlog 1.6.1
    benchmark 1.5.1
[2023-10-09 17:44:32.047] [scope] [info] recorded system CPU turbo state
[2023-10-09 17:44:32.048] [scope] [info] recorded CPU goveror
[2023-10-09 17:44:32.048] [scope] [error] unable to disable CPU turbo: no permission. Run with higher privileges?
[2023-10-09 17:44:32.048] [scope] [error] unable to set OS CPU governor to maximum: no permission. Run with higher privileges?
2023-10-09T17:44:34-04:00
Running /lustre/orion/csc465/scratch/cpearson/frontier-gpu-bandwidth/build/comm_scope
Run on (128 X 1795.72 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x64)
  L1 Instruction 32 KiB (x64)
  L2 Unified 512 KiB (x64)
  L3 Unified 32768 KiB (x8)
Load Average: 0.02, 0.44, 3.92
------------------------------------------------------------------------------------------------------------------------------
Benchmark                                                                    Time             CPU   Iterations UserCounters...
Comm_hipMemcpyAsync_PageableToGPU/0/0/log2(N):11/manual_time              7007 ns    717137212 ns        99950 bytes=2.048k bytes_per_second=278.745M/s hip_id=0 numa_id=0
Comm_hipMemcpyAsync_PageableToGPU/0/0/log2(N):11/manual_time              7008 ns    712686222 ns        99950 bytes=2.048k bytes_per_second=278.716M/s hip_id=0 numa_id=0
Comm_hipMemcpyAsync_PageableToGPU/0/0/log2(N):11/manual_time              7008 ns    717144431 ns        99950 bytes=2.048k bytes_per_second=278.707M/s hip_id=0 numa_id=0
Comm_hipMemcpyAsync_PageableToGPU/0/0/log2(N):11/manual_time              7005 ns    713618991 ns        99950 bytes=2.048k bytes_per_second=278.833M/s hip_id=0 numa_id=0
Comm_hipMemcpyAsync_PageableToGPU/0/0/log2(N):11/manual_time_mean         7006 ns    714878858 ns            5 bytes=2.048k bytes_per_second=278.774M/s hip_id=0 numa_id=0
Comm_hipMemcpyAsync_PageableToGPU/0/0/log2(N):11/manual_time_median       7007 ns    713807434 ns            5 bytes=2.048k bytes_per_second=278.745M/s hip_id=0 numa_id=0
Comm_hipMemcpyAsync_PageableToGPU/0/0/log2(N):11/manual_time_stddev       1.84 ns      2108071 ns            5 bytes=0 bytes_per_second=74.7856k/s hip_id=0 numa_id=0
Comm_hipMemcpyAsync_PageableToGPU/0/0/log2(N):11/manual_time_cv           0.03 %          0.29 %             5 bytes=0.00% bytes_per_second=0.03% hip_id=-nan% numa_id=-nan%
Comm_hipMemcpyAsync_PageableToGPU/0/0/log2(N):12/manual_time              7266 ns    701496019 ns        96223 bytes=4.096k bytes_per_second=537.637M/s hip_id=0 numa_id=0
Comm_hipMemcpyAsync_PageableToGPU/0/0/log2(N):12/manual_time              7270 ns    705793242 ns        96223 bytes=4.096k bytes_per_second=537.294M/s hip_id=0 numa_id=0
Comm_hipMemcpyAsync_PageableToGPU/0/0/log2(N):12/manual_time              7267 ns    701326688 ns        96223 bytes=4.096k bytes_per_second=537.537M/s hip_id=0 numa_id=0
Comm_hipMemcpyAsync_PageableToGPU/0/0/log2(N):12/manual_time              7272 ns    705593815 ns        96223 bytes=4.096k bytes_per_second=537.145M/s hip_id=0 numa_id=0
Comm_hipMemcpyAsync_PageableToGPU/0/0/log2(N):12/manual_time              7267 ns    701616934 ns        96223 bytes=4.096k bytes_per_second=537.535M/s hip_id=0 numa_id=0
Comm_hipMemcpyAsync_PageableToGPU/0/0/log2(N):12/manual_time_mean         7268 ns    703165340 ns            5 bytes=4.096k bytes_per_second=537.43M/s hip_id=0 numa_id=0
Comm_hipMemcpyAsync_PageableToGPU/0/0/log2(N):12/manual_time_median       7267 ns    701616934 ns            5 bytes=4.096k bytes_per_second=537.535M/s hip_id=0 numa_id=0
Comm_hipMemcpyAsync_PageableToGPU/0/0/log2(N):12/manual_time_stddev       2.75 ns      2311287 ns            5 bytes=0 bytes_per_second=207.965k/s hip_id=0 numa_id=0
Comm_hipMemcpyAsync_PageableToGPU/0/0/log2(N):12/manual_time_cv           0.04 %          0.33 %             5 bytes=0.00% bytes_per_second=0.04% hip_id=-nan% numa_id=-nan%
Comm_hipMemcpyAsync_PageableToGPU/0/0/log2(N):13/manual_time              9119 ns    631221559 ns        76701 bytes=8.192k bytes_per_second=856.72M/s hip_id=0 numa_id=0
Comm_hipMemcpyAsync_PageableToGPU/0/0/log2(N):13/manual_time              9090 ns    632607760 ns        76701 bytes=8.192k bytes_per_second=859.459M/s hip_id=0 numa_id=0
Comm_hipMemcpyAsync_PageableToGPU/0/0/log2(N):13/manual_time              9128 ns    630949007 ns        76701 bytes=8.192k bytes_per_second=855.923M/s hip_id=0 numa_id=0
Comm_hipMemcpyAsync_PageableToGPU/0/0/log2(N):13/manual_time              9112 ns    634791760 ns        76701 bytes=8.192k bytes_per_second=857.387M/s hip_id=0 numa_id=0
Comm_hipMemcpyAsync_PageableToGPU/0/0/log2(N):13/manual_time              9116 ns    631001023 ns        76701 bytes=8.192k bytes_per_second=857.05M/s hip_id=0 numa_id=0
Comm_hipMemcpyAsync_PageableToGPU/0/0/log2(N):13/manual_time_mean         9113 ns    632114222 ns            5 bytes=8.192k bytes_per_second=857.308M/s hip_id=0 numa_id=0
Comm_hipMemcpyAsync_PageableToGPU/0/0/log2(N):13/manual_time_median       9116 ns    631221559 ns            5 bytes=8.192k bytes_per_second=857.05M/s hip_id=0 numa_id=0
Comm_hipMemcpyAsync_PageableToGPU/0/0/log2(N):13/manual_time_stddev       14.0 ns      1643668 ns            5 bytes=0 bytes_per_second=1.31947M/s hip_id=0 numa_id=0
Comm_hipMemcpyAsync_PageableToGPU/0/0/log2(N):13/manual_time_cv           0.15 %          0.26 %             5 bytes=0.00% bytes_per_second=0.15% hip_id=-nan% numa_id=-nan%
Comm_hipMemcpyAsync_PageableToGPU/0/0/log2(N):14/manual_time              9803 ns    612320057 ns        71438 bytes=16.384k bytes_per_second=1.55648G/s hip_id=0 numa_id=0
Comm_hipMemcpyAsync_PageableToGPU/0/0/log2(N):14/manual_time              9804 ns    618673026 ns        71438 bytes=16.384k bytes_per_second=1.55638G/s hip_id=0 numa_id=0
Comm_hipMemcpyAsync_PageableToGPU/0/0/log2(N):14/manual_time              9800 ns    612332019 ns        71438 bytes=16.384k bytes_per_second=1.55704G/s hip_id=0 numa_id=0
Comm_hipMemcpyAsync_PageableToGPU/0/0/log2(N):14/manual_time              9804 ns    619920082 ns        71438 bytes=16.384k bytes_per_second=1.55631G/s hip_id=0 numa_id=0
Comm_hipMemcpyAsync_PageableToGPU/0/0/log2(N):14/manual_time              9802 ns    610981165 ns        71438 bytes=16.384k bytes_per_second=1.55667G/s hip_id=0 numa_id=0
Comm_hipMemcpyAsync_PageableToGPU/0/0/log2(N):14/manual_time_mean         9803 ns    614845270 ns            5 bytes=16.384k bytes_per_second=1.55657G/s hip_id=0 numa_id=0
Comm_hipMemcpyAsync_PageableToGPU/0/0/log2(N):14/manual_time_median       9803 ns    612332019 ns            5 bytes=16.384k bytes_per_second=1.55648G/s hip_id=0 numa_id=0
Comm_hipMemcpyAsync_PageableToGPU/0/0/log2(N):14/manual_time_stddev       1.86 ns      4124011 ns            5 bytes=0 bytes_per_second=309.254k/s hip_id=0 numa_id=0
Comm_hipMemcpyAsync_PageableToGPU/0/0/log2(N):14/manual_time_cv           0.02 %          0.67 %             5 bytes=0.00% bytes_per_second=0.02% hip_id=-nan% numa_id=-nan%
Comm_hipMemcpyAsync_PageableToGPU/0/0/log2(N):15/manual_time             10701 ns    597349412 ns        65430 bytes=32.768k bytes_per_second=2.85192G/s hip_id=0 numa_id=0
Comm_hipMemcpyAsync_PageableToGPU/0/0/log2(N):15/manual_time             10702 ns    600649373 ns        65430 bytes=32.768k bytes_per_second=2.85154G/s hip_id=0 numa_id=0
Comm_hipMemcpyAsync_PageableToGPU/0/0/log2(N):15/manual_time             10702 ns    597117213 ns        65430 bytes=32.768k bytes_per_second=2.8517G/s hip_id=0 numa_id=0
Comm_hipMemcpyAsync_PageableToGPU/0/0/log2(N):15/manual_time             10697 ns    600286081 ns        65430 bytes=32.768k bytes_per_second=2.85282G/s hip_id=0 numa_id=0
Comm_hipMemcpyAsync_PageableToGPU/0/0/log2(N):15/manual_time             10697 ns    596525607 ns        65430 bytes=32.768k bytes_per_second=2.85289G/s hip_id=0 numa_id=0
Comm_hipMemcpyAsync_PageableToGPU/0/0/log2(N):15/manual_time_mean        10700 ns    598385537 ns            5 bytes=32.768k bytes_per_second=2.85217G/s hip_id=0 numa_id=0
Comm_hipMemcpyAsync_PageableToGPU/0/0/log2(N):15/manual_time_median      10701 ns    597349412 ns            5 bytes=32.768k bytes_per_second=2.85192G/s hip_id=0 numa_id=0
Comm_hipMemcpyAsync_PageableToGPU/0/0/log2(N):15/manual_time_stddev       2.39 ns      1928637 ns            5 bytes=0 bytes_per_second=667.142k/s hip_id=0 numa_id=0
Comm_hipMemcpyAsync_PageableToGPU/0/0/log2(N):15/manual_time_cv           0.02 %          0.32 %             5 bytes=0.00% bytes_per_second=0.02% hip_id=-nan% numa_id=-nan%
Comm_hipMemcpyAsync_PageableToGPU/0/0/log2(N):16/manual_time             12421 ns    571922336 ns        56332 bytes=65.536k bytes_per_second=4.91374G/s hip_id=0 numa_id=0
Comm_hipMemcpyAsync_PageableToGPU/0/0/log2(N):16/manual_time             12446 ns    574956691 ns        56332 bytes=65.536k bytes_per_second=4.90409G/s hip_id=0 numa_id=0
Comm_hipMemcpyAsync_PageableToGPU/0/0/log2(N):16/manual_time             12419 ns    570509189 ns        56332 bytes=65.536k bytes_per_second=4.91469G/s hip_id=0 numa_id=0
Comm_hipMemcpyAsync_PageableToGPU/0/0/log2(N):16/manual_time             12413 ns    573827991 ns        56332 bytes=65.536k bytes_per_second=4.9169G/s hip_id=0 numa_id=0
Comm_hipMemcpyAsync_PageableToGPU/0/0/log2(N):16/manual_time             12423 ns    572060572 ns        56332 bytes=65.536k bytes_per_second=4.91327G/s hip_id=0 numa_id=0
Comm_hipMemcpyAsync_PageableToGPU/0/0/log2(N):16/manual_time_mean        12424 ns    572655356 ns            5 bytes=65.536k bytes_per_second=4.91254G/s hip_id=0 numa_id=0
Comm_hipMemcpyAsync_PageableToGPU/0/0/log2(N):16/manual_time_median      12421 ns    572060572 ns            5 bytes=65.536k bytes_per_second=4.91374G/s hip_id=0 numa_id=0
Comm_hipMemcpyAsync_PageableToGPU/0/0/log2(N):16/manual_time_stddev       12.5 ns      1744157 ns            5 bytes=0 bytes_per_second=5.04596M/s hip_id=0 numa_id=0
Comm_hipMemcpyAsync_PageableToGPU/0/0/log2(N):16/manual_time_cv           0.10 %          0.30 %             5 bytes=0.00% bytes_per_second=0.10% hip_id=-nan% numa_id=-nan%
Comm_hipMemcpyAsync_PageableToGPU/0/0/log2(N):17/manual_time             15462 ns    543254830 ns        45316 bytes=131.072k bytes_per_second=7.8951G/s hip_id=0 numa_id=0
Comm_hipMemcpyAsync_PageableToGPU/0/0/log2(N):17/manual_time             15467 ns    546790507 ns        45316 bytes=131.072k bytes_per_second=7.89225G/s hip_id=0 numa_id=0
Comm_hipMemcpyAsync_PageableToGPU/0/0/log2(N):17/manual_time             15462 ns    543528021 ns        45316 bytes=131.072k bytes_per_second=7.89473G/s hip_id=0 numa_id=0
Comm_hipMemcpyAsync_PageableToGPU/0/0/log2(N):17/manual_time             15453 ns    546192048 ns        45316 bytes=131.072k bytes_per_second=7.89948G/s hip_id=0 numa_id=0
Comm_hipMemcpyAsync_PageableToGPU/0/0/log2(N):17/manual_time             15468 ns    543202491 ns        45316 bytes=131.072k bytes_per_second=7.89165G/s hip_id=0 numa_id=0
Comm_hipMemcpyAsync_PageableToGPU/0/0/log2(N):17/manual_time_mean        15462 ns    544593580 ns            5 bytes=131.072k bytes_per_second=7.89464G/s hip_id=0 numa_id=0
Comm_hipMemcpyAsync_PageableToGPU/0/0/log2(N):17/manual_time_median      15462 ns    543528021 ns            5 bytes=131.072k bytes_per_second=7.89473G/s hip_id=0 numa_id=0
Comm_hipMemcpyAsync_PageableToGPU/0/0/log2(N):17/manual_time_stddev       6.06 ns      1749599 ns            5 bytes=0 bytes_per_second=3.16959M/s hip_id=0 numa_id=0
Comm_hipMemcpyAsync_PageableToGPU/0/0/log2(N):17/manual_time_cv           0.04 %          0.32 %             5 bytes=0.00% bytes_per_second=0.04% hip_id=-nan% numa_id=-nan%
Comm_hipMemcpyAsync_PageableToGPU/0/0/log2(N):18/manual_time             19099 ns    545911375 ns        36669 bytes=262.144k bytes_per_second=12.7829G/s hip_id=0 numa_id=0
Comm_hipMemcpyAsync_PageableToGPU/0/0/log2(N):18/manual_time             19092 ns    547605792 ns        36669 bytes=262.144k bytes_per_second=12.7879G/s hip_id=0 numa_id=0
Comm_hipMemcpyAsync_PageableToGPU/0/0/log2(N):18/manual_time             19097 ns    545757553 ns        36669 bytes=262.144k bytes_per_second=12.7843G/s hip_id=0 numa_id=0
Comm_hipMemcpyAsync_PageableToGPU/0/0/log2(N):18/manual_time             19094 ns    547709075 ns        36669 bytes=262.144k bytes_per_second=12.7864G/s hip_id=0 numa_id=0
Comm_hipMemcpyAsync_PageableToGPU/0/0/log2(N):18/manual_time             19099 ns    545867250 ns        36669 bytes=262.144k bytes_per_second=12.7827G/s hip_id=0 numa_id=0
Comm_hipMemcpyAsync_PageableToGPU/0/0/log2(N):18/manual_time_mean        19096 ns    546570209 ns            5 bytes=262.144k bytes_per_second=12.7848G/s hip_id=0 numa_id=0
Comm_hipMemcpyAsync_PageableToGPU/0/0/log2(N):18/manual_time_median      19097 ns    545911375 ns            5 bytes=262.144k bytes_per_second=12.7843G/s hip_id=0 numa_id=0
Comm_hipMemcpyAsync_PageableToGPU/0/0/log2(N):18/manual_time_stddev       3.37 ns       994745 ns            5 bytes=0 bytes_per_second=2.31204M/s hip_id=0 numa_id=0
Comm_hipMemcpyAsync_PageableToGPU/0/0/log2(N):18/manual_time_cv           0.02 %          0.18 %             5 bytes=0.00% bytes_per_second=0.02% hip_id=-nan% numa_id=-nan%
Comm_hipMemcpyAsync_PageableToGPU/0/0/log2(N):19/manual_time             30771 ns    535031873 ns        22742 bytes=524.288k bytes_per_second=15.868G/s hip_id=0 numa_id=0
